Label,Pulgar,Indice,Corazon,Anular,Mennique,Pulgar_std,Indice_std,Corazon_std,Anular_std,Mennique_std,Pitch_median,Roll_median,Pitch_range,Roll_range,A_mag_mean,A_mag_std,G_mag_mean,G_mag_std
HOLA,2783.3,2556.6,2560.5,2770.8,3687.9,6.0835844697020525,7.323933369440222,10.385085459446158,5.173006862551025,4.3,-0.9614407759873937,-0.1771498805816757,0.7264454087182053,6.182081935443287,1.022176489400235,0.22406522380193505,123.7629186874289,77.89342037662016
HOLA,2799.1,2561.3,2572.1,2790.5,3695.9,14.166509803053115,18.06682041754996,17.218884981322102,14.948244044034068,2.8089143810376274,-0.562146029868043,-0.05745712544065429,1.3513656455156176,5.162549931225623,1.2908385538902247,0.47150379403626613,177.04292233745008,95.55783432150197
HOLA,2791.4,2547.2,2549.2,2769.8,3690.2,2.9393876913398134,4.214261501141095,4.214261501141095,4.6000000000000005,5.362835071116769,-0.586012208508611,-0.1324052177706213,0.6049582109676657,4.61910541104826,1.321527015104429,0.44464182028817095,163.65356791737386,71.64951408009343
HOLA,2790.5,2546.8,2550.2,2765.9,3688.3,2.4186773244895647,4.331281565541543,2.039607805437114,2.844292530665578,3.9509492530276824,-0.697877121629072,1.5835062116251333,0.8037466339278982,5.645343586783518,1.189248783707342,0.39136598019067537,162.73178870617124,61.562939699871556
HOLA,2762.0,2544.6,2547.2,2759.0,3683.2,2.792848008753788,4.608687448721165,3.2802438933713454,5.059644256269407,3.4583232931581165,-0.9622465398255207,-2.4231731886693915,0.195469743296259,6.182758239338824,0.9745466407182659,0.07568913439023511,101.64594996293889,71.01772360567271
HOLA,2756.5,2538.5,2536.6,2743.4,3681.4,3.6674241641784495,9.211405973031479,4.882622246293481,12.026637102698327,6.945502141674135,-0.806197681041691,-2.2781035915965644,0.3405833056815176,5.496658051299959,1.0201416704279065,0.2344802171965916,136.5443077345425,59.950823391297575
HOLA,2761.5,2537.9,2532.7,2743.5,3680.4,2.4186773244895647,4.0853396431631,3.950949253027682,4.410215414239989,2.7640549922170505,-0.8667773997694155,-2.3732296963241724,0.5495083083789125,5.5099182644299,1.0106547573090978,0.23640423331338334,181.92866379239246,58.70299558552892
HOLA,2763.7,2539.8,2533.5,2740.4,3682.6,2.3259406699226015,4.770744176750625,2.80178514522438,3.7735924528226414,2.8354893757515645,-0.9246992891756164,-1.4162498255136016,0.8051085850125723,6.075310696805921,0.9852931182960589,0.28512711382544503,181.52665877643904,87.48468279340254
HOLA,2757.7,2536.8,2547.3,2753.2,3687.3,5.640035460881429,9.917661014573952,6.132699242584786,8.1706792863262,2.451530134426253,-0.8752478301758535,1.3200068568352978,0.4142664099018366,4.808037673246254,1.0656461285719083,0.3099650442545163,169.36565131591087,81.67054294136472
HOLA,2749.0,2522.8,2522.4,2727.3,3673.1,4.219004621945797,3.7363083384538807,2.2891046284519194,4.859012245302536,1.374772708486752,-0.7300434740642172,1.4710476867106559,0.6069389986563861,5.37076590306187,1.1222945106424596,0.443232480061877,147.2983763301969,75.85075701987219
