Label,Pulgar,Indice,Corazon,Anular,Mennique,Pulgar_std,Indice_std,Corazon_std,Anular_std,Mennique_std,Pitch_median,Roll_median,Pitch_range,Roll_range,A_mag_mean,A_mag_std,G_mag_mean,G_mag_std
U,2829.7,2530.3,2563.0,2877.8,3721.4,5.933801479658719,5.273518749374083,6.082762530298219,7.6262703859750465,3.5270384177096794,-0.8449734126516908,-2.880925682314737,0.05718889821999762,0.057713613608965986,0.9450953061953224,0.007406902697448463,10.914859498987035,1.872493556029627
U,2835.4545454545455,2508.4545454545455,2540.5454545454545,2916.818181818182,3732.909090909091,3.5767846496192726,7.049998534669562,5.565537405459624,14.446252623986368,9.727697526833042,-0.9063691131232492,-2.8061209965482075,0.11897370483675263,0.12242212048221734,0.9372691570825008,0.024423905950082744,10.903392783956685,4.310389286220131
U,2836.5454545454545,2497.6363636363635,2547.0,2917.090909090909,3729.2727272727275,10.342881929693013,5.139379645491843,7.0710678118654755,10.638305960960526,4.453617714151233,-0.873827525003938,-2.8454775077148287,0.11037980908555567,0.11140891233775418,0.9340590861328792,0.023529207649443582,9.98876203535239,7.957520530988453
U,2831.7272727272725,2494.2727272727275,2539.090909090909,2907.6363636363635,3726.090909090909,8.739574662948774,7.423438422761309,5.230236314051828,9.575278085425152,4.230936828443672,-0.8710499861408613,-2.825164962827514,0.03572624960654558,0.03536985845207363,0.9452442295464444,0.012383315757447683,8.613466013321235,4.156332907426931
U,2837.5454545454545,2489.3636363636365,2525.0,2893.818181818182,3727.4545454545455,4.459181261247535,6.414085739040958,4.369314487526514,11.304208241488748,9.345525291561016,-1.0887527728496282,-2.7076392841958965,0.040610875634588206,0.12837783966760918,0.9529769309387076,0.008658469763274244,8.056635449010939,3.483585113319366
U,2835.2727272727275,2489.7272727272725,2521.6363636363635,2893.7272727272725,3719.4545454545455,4.711512189036341,5.642225690611964,5.014029902959155,3.3327823236042473,8.456988894223805,-1.0732883084721359,-2.7188448975636046,0.055230936340709746,0.051973354081053635,0.9505827261180311,0.007244363741022048,5.6898540458462294,1.7411234697652243
U,2831.0,2484.0,2541.181818181818,2901.6363636363635,3722.818181818182,4.492417854765759,3.908033683673578,4.130115160582017,4.829318176470337,2.724240738867581,-1.0836047464849905,-2.6830995011621086,0.06810617157161825,0.14562838057082272,0.9506277994230496,0.008762817132059281,5.472217473236969,2.348272966586294
U,2827.7272727272725,2489.3636363636365,2543.181818181818,2892.4545454545455,3719.0,3.816016702148247,5.398193759746736,3.7855750570285482,9.028879285771009,7.471156658656129,-1.0840146003938165,-2.682846848328635,0.0473350759504505,0.060077990301387274,0.9504950431624243,0.010448584768338261,6.215165786107357,2.354715322751463
U,2835.0,2486.090909090909,2536.4545454545455,2892.5454545454545,3717.0,10.488088481701515,3.7283812098927056,5.662695091780886,9.95776203739517,6.522687678055308,-1.087760561272526,-2.6971734436886945,0.04248418464840964,0.20390208683250188,0.955693783448871,0.014120633030513923,10.137144286658287,2.0771316066805285
U,2828.4545454545455,2485.4545454545455,2534.4545454545455,2885.4545454545455,3719.3636363636365,9.471139284101094,13.364563975226947,11.711405756500303,11.340704133691782,18.026610266102455,-1.087753073128995,-2.7129726843448534,0.04686416690026052,0.03964948257569967,0.9554447109039004,0.010266664782798673,6.432853690061246,1.2757991230069934
U,2829.2727272727275,2484.909090909091,2531.090909090909,2891.2727272727275,3713.3636363636365,6.903107456934411,13.06246910708514,7.292019865511082,13.267122104119634,9.763314706060989,-1.12225760516989,-2.6882539577352302,0.05622488371923606,0.074488790213882,0.9491911170439599,0.00749822144509181,5.561236522730914,0.8912678263259455
U,2832.3636363636365,2480.909090909091,2518.3636363636365,2895.4545454545455,3721.818181818182,3.391774201123206,12.221103546768044,6.918653669251071,7.773657573247982,2.289032420366213,-1.0813091279533462,-2.6730908281719326,0.0798789830953115,0.1054569009676598,0.9528641354643271,0.010951682328323352,7.163141103088897,2.7840940244967256
U,2831.7272727272725,2480.909090909091,2516.4545454545455,2887.0,3718.3636363636365,6.453905217926854,4.980955466110082,3.2012394293925475,5.6729020952082525,3.7964750941492906,-1.075554514796257,-2.7177496090636515,0.05155513960209168,0.07795859957346618,0.9536347021198621,0.006391784786891966,8.287951586088917,2.77530151634849
U,2830.4545454545455,2480.4545454545455,2517.181818181818,2885.6363636363635,3713.090909090909,4.0979736980307795,9.93948632625208,4.238742991590825,5.381326758890452,5.961307749365455,-1.0786338850526735,-2.698681373891552,0.05939833766759972,0.07433088716766534,0.9477478606818437,0.01067673044469496,9.33441603368577,3.998007917709771
